timestamp,open,high,low,close,volume
1514847600000,16.95,17.009,16.949,17.004,5.9069
1514851200000,17.003,17.014,16.975,16.987,98.1763
1514854800000,16.986,16.995,16.936,16.973,120.503
1514858400000,16.975,16.979,16.943,16.948,64.763
1514862000000,16.948,16.989,16.918,16.966,72.5325
1514865600000,16.969,17.003,16.957,16.992,56.3242
1514869200000,16.994,17.002,16.969,16.991,57.1089
1514872800000,16.992,17.044,16.989,17.044,55.8182
1514876400000,17.047,17.054,17.024,17.052,173.8829
1514880000000,17.053,17.064,17.013,17.049,155.2573
1514883600000,17.05,17.076,17.044,17.071,94.393
1514887200000,17.074,17.084,17.042,17.074,161.776
1514890800000,17.073,17.086,17.053,17.054,130.6825
1514894400000,17.054,17.087,17.043,17.079,245.5452
1514898000000,17.079,17.129,17.071,17.111,339.3521
1514901600000,17.11,17.139,17.082,17.129,334.9473
1514905200000,17.134,17.154,17.105,17.123,400.1041
1514908800000,17.122,17.175,17.122,17.135,289.6357
1514912400000,17.13,17.148,17.119,17.144,246.8859
1514916000000,17.143,17.171,17.141,17.165,237.2092
1514919600000,17.166,17.188,17.159,17.185,204.9193
1514923200000,17.183,17.193,17.173,17.183,247.973
1514926800000,17.184,17.184,17.167,17.169,47.6074
1514934000000,17.169,17.201,17.163,17.191,133.395
1514937600000,17.191,17.2,17.171,17.178,116.4218
1514941200000,17.178,17.201,17.125,17.152,172.689
1514944800000,17.153,17.155,17.056,17.059,204.1716
1514948400000,17.065,17.08,17.045,17.073,148.0155
1514952000000,17.074,17.085,17.06,17.074,75.3075
1514955600000,17.073,17.081,17.06,17.063,135.5904
1514959200000,17.064,17.076,17.031,17.035,88.2209
1514962800000,17.037,17.084,17.015,17.083,137.4144
1514966400000,17.08,17.127,17.075,17.112,117.7754
1514970000000,17.111,17.118,17.088,17.108,76.4357
1514973600000,17.109,17.114,17.074,17.092,80.9865
1514977200000,17.092,17.124,17.078,17.102,96.1089
1514980800000,17.103,17.132,17.075,17.097,111.0385
1514984400000,17.097,17.172,17.088,17.17,195.3832
1514988000000,17.168,17.181,17.136,17.148,316.7729
1514991600000,17.124,17.184,17.124,17.179,319.4899
1514995200000,17.177,17.198,17.166,17.186,195.1722
1514998800000,17.186,17.209,17.176,17.195,147.0928
1515002400000,17.196,17.23,17.195,17.205,161.8841
1515006000000,17.177,17.205,17.051,17.111,383.7498
1515009600000,17.11,17.171,17.109,17.136,263.3363
1515013200000,17.135,17.146,17.09,17.09,68.0755
1515020400000,17.109,17.111,17.072,17.09,80.5073
1515024000000,17.091,17.091,17.054,17.071,165.9622
1515027600000,17.072,17.077,16.975,16.994,210.8436
1515031200000,16.995,17.007,16.979,17.003,149.0829
1515034800000,17.003,17.003,16.972,16.998,74.8361
1515038400000,16.998,17.029,16.998,17.021,123.4084
1515042000000,17.024,17.064,17.01,17.059,160.0792
1515045600000,17.06,17.064,17.025,17.049,165.9689
1515049200000,17.048,17.077,17.011,17.064,94.0784
1515052800000,17.064,17.122,17.055,17.1,107.2282
1515056400000,17.097,17.159,17.096,17.15,112.1009
1515060000000,17.149,17.17,17.118,17.135,109.121
1515063600000,17.134,17.154,17.113,17.126,139.549
1515067200000,17.126,17.138,17.091,17.137,103.791
1515070800000,17.137,17.195,17.059,17.177,508.136
1515074400000,17.173,17.199,17.149,17.165,234.4915
1515078000000,17.166,17.246,17.155,17.238,282.8363
1515081600000,17.242,17.258,17.187,17.213,249.7414
1515085200000,17.219,17.227,17.179,17.223,206.7916
1515088800000,17.221,17.234,17.166,17.177,198.4085
1515092400000,17.178,17.248,17.178,17.242,223.3947
1515096000000,17.246,17.266,17.193,17.194,360.5513
1515099600000,17.193,17.225,17.193,17.214,53.8299
